prod_id,prod_unit,Weekend,mean_price,sum_sale_quantity,freq_of _discount_number,discount_ration,brand_desc,category_desc_eng,y
145519008,CT,0.31116389548693607,0.7073876698014631,1914.0,0.8931116389548691,0.44321417154781995,ACTIVIA,YOGURT HEALTH,1
145519009,CT,0.33577712609970695,0.7097445482866039,3210.0,0.8929618768328449,0.4382154481744629,ACTIVIA,YOGURT HEALTH,1
145519010,CT,0.32861189801699703,0.7166920634920629,1575.0,0.9348441926345609,0.46216911655794,ACTIVIA,YOGURT HEALTH,1
145519011,CT,0.36104513064133004,0.7133473906167629,1897.0,0.9073634204275529,0.44708584387191297,ACTIVIA,YOGURT HEALTH,1
145519012,CT,0.29860228716645504,0.7119026104417672,3984.0,0.8907242693773821,0.436926186263123,ACTIVIA,YOGURT HEALTH,1
148066012,CT,0.29981718464351004,1.07047657512116,1238.0,0.804387568555759,0.312704877288139,CORPOS DANONE,YOGURT SPECIALTIES,1
152576008,CT,0.348870056497175,0.6952609515824771,9542.0,0.9336158192090401,0.471495850762878,ACTIVIA,YOGURT HEALTH,1
152576009,CT,0.340065952184666,0.6936285790741241,11211.0,0.922506183017312,0.465040915977569,ACTIVIA,YOGURT HEALTH,1
152576010,CT,0.36779324055666,0.693027956989247,6975.0,0.9085487077534791,0.45956670767066704,ACTIVIA,YOGURT HEALTH,1
152576011,CT,0.33837837837837803,0.6962954333643989,12876.0,0.914594594594595,0.459974627360563,ACTIVIA,YOGURT HEALTH,1
152748011,CT,0.319354838709677,1.56178153446034,769.0,0.7983870967741941,0.37760923620208897,LONGA VIDA,YOGURT HEALTH,1
152748012,CT,0.278283485045514,1.6141596638655502,952.0,0.8088426527958391,0.389625793854115,LONGA VIDA,YOGURT HEALTH,1
152761004,CT,0.317016766236269,0.632887599062395,26877.0,0.9180959722489879,0.45983629317037,DAN UP,YOGURT DRINK,1
152761005,CT,0.33880597014925395,0.6291825869088629,3193.0,0.92089552238806,0.462050594789227,DAN UP,YOGURT DRINK,1
152761006,CT,0.334142787761049,0.6341043037974681,9875.0,0.944633317144245,0.473589595215255,DAN UP,YOGURT DRINK,1
152761007,CT,0.31806320672658694,0.635051807228916,16600.0,0.938822847202088,0.47066016807086997,DAN UP,YOGURT DRINK,1
152761009,CT,0.34161490683229806,0.6351409685687309,7413.0,0.9447204968944101,0.473829306812118,DAN UP,YOGURT DRINK,1
152761010,CT,0.31769436997319,0.633542136097341,6657.0,0.9390080428954419,0.470143382067442,DAN UP,YOGURT DRINK,1
152761012,CT,0.332350049164208,0.6318481225089151,14301.0,0.935103244837758,0.46958722887329296,DAN UP,YOGURT DRINK,1
153561012,CT,0.29306487695749395,1.96177570093458,535.0,0.8344519015659959,0.331432756449992,YOCO,YOGURT CHILD,1
153701005,CT,0.313047285464098,0.6921866739586179,10971.0,0.9238178633975479,0.46496695873942206,ACTIVIA,YOGURT HEALTH,1
153701006,CT,0.327705295471988,0.692912825489245,6183.0,0.919416730621642,0.46842313825493603,ACTIVIA,YOGURT HEALTH,1
153701007,CT,0.339335180055402,0.690238319222327,3189.0,0.944598337950138,0.48011034475073905,ACTIVIA,YOGURT HEALTH,1
153701008,CT,0.35375191424196006,0.691055702333774,9084.0,0.9101582440020419,0.45845834352544607,ACTIVIA,YOGURT HEALTH,1
153701009,CT,0.33347621088727003,0.6888345619109829,10717.0,0.906129447063866,0.457231226024948,ACTIVIA,YOGURT HEALTH,1
153701010,CT,0.35103734439834006,0.6918842530282641,5944.0,0.8846473029045642,0.45274766081654294,ACTIVIA,YOGURT HEALTH,1
153701011,CT,0.326451612903226,0.6862276601594721,3637.0,0.941935483870968,0.47317728666457504,ACTIVIA,YOGURT HEALTH,1
153701012,CT,0.33113069016152696,0.6949531327084361,6081.0,0.9265785609397941,0.467516051216218,ACTIVIA,YOGURT HEALTH,1
153721011,CT,0.343839541547278,2.5430612244898,392.0,0.7478510028653291,0.24592219401021104,NESTLE,YOGURT SPECIALTIES,3
156282009,CT,0.26578073089701,0.618520371694067,1399.0,0.644518272425249,0.31599200217426193,YOGGI,YOGURT HEALTH,3
156282010,CT,0.34052757793765,0.622022577610536,2126.0,0.5707434052757789,0.269644894051151,YOGGI,YOGURT HEALTH,3
156283011,CT,0.35430038510911405,2.9831506849315095,876.0,0.910141206675225,0.446287143069997,ACTIMEL,YOGURT HEALTH,1
156283012,CT,0.327970297029703,2.9840193965517203,928.0,0.9146039603960401,0.447260882010627,ACTIMEL,YOGURT HEALTH,1
156284010,CT,0.320547945205479,2.47074162679426,418.0,0.8931506849315071,0.33963800407107897,ACTIVIA,YOGURT HEALTH,1
156284011,CT,0.28089887640449396,2.47125,336.0,0.8539325842696629,0.327794536211413,ACTIVIA,YOGURT HEALTH,1
156284012,CT,0.29945799457994604,2.4675442739079103,847.0,0.873983739837398,0.330849449852383,ACTIVIA,YOGURT HEALTH,1
156381010,CT,0.29771908763505395,0.6820046379799021,3881.0,0.48259303721488594,0.194401782322573,YOGGI,YOGURT DRINK,3
156953010,CT,0.324287652645862,2.52047254150702,783.0,0.401628222523745,0.14214476299639403,OIKOS,YOGURT SPECIALTIES,2
156953011,CT,0.314977973568282,2.62243352406597,2971.0,0.65345080763583,0.234044423119378,OIKOS,YOGURT SPECIALTIES,3
156953012,CT,0.337966349670812,2.58482970027248,1468.0,0.528163862472568,0.191730053000029,OIKOS,YOGURT SPECIALTIES,3
158284005,CT,0.30834464043419296,0.656066226160084,13318.0,0.9151967435549531,0.4602395788819671,CORPOS DANONE,YOGURT HEALTH,1
